Datum;SommerferienBY
2015-08-01;1
2015-08-02;1
2015-08-03;1
2015-08-04;1
2015-08-05;1
2015-08-06;1
2015-08-07;1
2015-08-08;1
2015-08-09;1
2015-08-10;1
2015-08-11;1
2015-08-12;1
2015-08-13;1
2015-08-14;1
2015-08-15;1
2015-08-16;1
2015-08-17;1
2015-08-18;1
2015-08-19;1
2015-08-20;1
2015-08-21;1
2015-08-22;1
2015-08-23;1
2015-08-24;1
2015-08-25;1
2015-08-26;1
2015-08-27;1
2015-08-28;1
2015-08-29;1
2015-08-30;1
2015-08-31;1
2015-09-01;1
2015-09-02;1
2015-09-03;1
2015-09-04;1
2015-09-05;1
2015-09-06;1
2015-09-07;1
2015-09-08;1
2015-09-09;1
2015-09-10;1
2015-09-11;1
2015-09-12;1
2015-09-13;1
2015-09-14;1
2016-07-30;1
2016-07-31;1
2016-08-01;1
2016-08-02;1
2016-08-03;1
2016-08-04;1
2016-08-05;1
2016-08-06;1
2016-08-07;1
2016-08-08;1
2016-08-09;1
2016-08-10;1
2016-08-11;1
2016-08-12;1
2016-08-13;1
2016-08-14;1
2016-08-15;1
2016-08-16;1
2016-08-17;1
2016-08-18;1
2016-08-19;1
2016-08-20;1
2016-08-21;1
2016-08-22;1
2016-08-23;1
2016-08-24;1
2016-08-25;1
2016-08-26;1
2016-08-27;1
2016-08-28;1
2016-08-29;1
2016-08-30;1
2016-08-31;1
2016-09-01;1
2016-09-02;1
2016-09-03;1
2016-09-04;1
2016-09-05;1
2016-09-06;1
2016-09-07;1
2016-09-08;1
2016-09-09;1
2016-09-10;1
2016-09-11;1
2016-09-12;1
2017-07-29;1
2017-07-30;1
2017-07-31;1
2017-08-01;1
2017-08-02;1
2017-08-03;1
2017-08-04;1
2017-08-05;1
2017-08-06;1
2017-08-07;1
2017-08-08;1
2017-08-09;1
2017-08-10;1
2017-08-11;1
2017-08-12;1
2017-08-13;1
2017-08-14;1
2017-08-15;1
2017-08-16;1
2017-08-17;1
2017-08-18;1
2017-08-19;1
2017-08-20;1
2017-08-21;1
2017-08-22;1
2017-08-23;1
2017-08-24;1
2017-08-25;1
2017-08-26;1
2017-08-27;1
2017-08-28;1
2017-08-29;1
2017-08-30;1
2017-08-31;1
2017-09-01;1
2017-09-02;1
2017-09-03;1
2017-09-04;1
2017-09-05;1
2017-09-06;1
2017-09-07;1
2017-09-08;1
2017-09-09;1
2017-09-10;1
2017-09-11;1
2018-07-30;1
2018-07-31;1
2018-08-01;1
2018-08-02;1
2018-08-03;1
2018-08-04;1
2018-08-05;1
2018-08-06;1
2018-08-07;1
2018-08-08;1
2018-08-09;1
2018-08-10;1
2018-08-11;1
2018-08-12;1
2018-08-13;1
2018-08-14;1
2018-08-15;1
2018-08-16;1
2018-08-17;1
2018-08-18;1
2018-08-19;1
2018-08-20;1
2018-08-21;1
2018-08-22;1
2018-08-23;1
2018-08-24;1
2018-08-25;1
2018-08-26;1
2018-08-27;1
2018-08-28;1
2018-08-29;1
2018-08-30;1
2018-08-31;1
2018-09-01;1
2018-09-02;1
2018-09-03;1
2018-09-04;1
2018-09-05;1
2018-09-06;1
2018-09-07;1
2018-09-08;1
2018-09-09;1
2018-09-10;1
2019-07-29;1
2019-07-30;1
2019-07-31;1
2019-08-01;1
2019-08-02;1
2019-08-03;1
2019-08-04;1
2019-08-05;1
2019-08-06;1
2019-08-07;1
2019-08-08;1
2019-08-09;1
2019-08-10;1
2019-08-11;1
2019-08-12;1
2019-08-13;1
2019-08-14;1
2019-08-15;1
2019-08-16;1
2019-08-17;1
2019-08-18;1
2019-08-19;1
2019-08-20;1
2019-08-21;1
2019-08-22;1
2019-08-23;1
2019-08-24;1
2019-08-25;1
2019-08-26;1
2019-08-27;1
2019-08-28;1
2019-08-29;1
2019-08-30;1
2019-08-31;1
2019-09-01;1
2019-09-02;1
2019-09-03;1
2019-09-04;1
2019-09-05;1
